VALIDATION: the kernel's deep vertical-bore machine (cap 0.15 m beyond F, r_cap 0.286, F2 3 m below F, no slot, no strut) against the torch twin, 128 x 512 rays, same noise draws, sigb 0.0043
    day/hour    el    who |  through   shadow     hole   no hit crossing     bore       M3      way   collar
  172/12      83.2 kernel |    80.6%     1.8%     4.0%     0.0%     0.0%     0.1%     0.8%     0.0%    12.6%
                     twin |    80.0%     1.8%     4.0%     0.0%     0.0%     0.1%     0.8%     0.0%    13.2%
   80/12      59.4 kernel |     8.2%     1.8%     4.0%     0.0%    84.8%     0.1%     0.1%     0.0%     1.0%
                     twin |     8.2%     1.8%     4.0%     0.0%    84.8%     0.1%     0.1%     0.0%     1.0%
   80/9       37.4 kernel |     0.0%     1.8%     4.0%     0.0%    94.2%     0.0%     0.0%     0.0%     0.0%
                     twin |     0.0%     1.8%     4.0%     0.0%    94.2%     0.0%     0.0%     0.0%     0.0%
  355/12      36.4 kernel |     0.0%     1.8%     4.0%     0.0%    94.2%     0.0%     0.0%     0.0%     0.0%
                     twin |     0.0%     1.8%     4.0%     0.0%    94.2%     0.0%     0.0%     0.0%     0.0%

THE COUDE RELAY, midsummer noon (el 83), sigb 0.0043, with the sun's disc: stalk at (1.25, 0.0), deck z 3.6, M4 at z 5.35, stalk 1.4 m beside the axis, M3 patch r 0.55, M4 patch r 0.6, pivot bore r 0.3 over 0.4-1.0 m from the stalk, stalk r 0.46
(a first sweep, kept in the README: F2 at 1.2-1.5 m behind the vertex with M3 relaying 1:1 or magnifying lost 33-70 % of the rays in the pivot's bore - the cap's image, 10-14 cm rms at magnification 16-26, is too large for a 0.30 m bore with the cone it carries; so F2 comes in towards the vertex and M3 demagnifies)
neck   2c     d  mag   s1  s1p   s2  s2p hole | throug cap sh   hole  blade no cap   film     M3  pivot     M4  stalk turn M    way collar | rms radii cm: F2  M3  F3 piv  M4 F2c deck
 1.3 1.20  0.20    7 1.15 0.60 0.80 2.00 0.40 |  58.5%   2.6%   1.0%   0.0%   0.0%   0.0%   2.2%  16.2%   6.7%   0.0%   1.6%   0.0%  11.3% |  6.4 31.0  4.2 24.5 39.4  6.5  5.7
 1.3 1.20  0.20    7 1.15 0.60 0.80 2.00 0.50 |  56.6%   2.6%   3.2%   0.0%   0.0%   0.0%   2.2%  16.1%   6.7%   0.0%   1.5%   0.0%  11.1% |  6.4 31.2  4.2 24.7 39.7  6.5  5.7
 1.3 1.20  0.20    7 1.15 0.60 0.80 2.80 0.40 |  70.1%   2.6%   1.0%   0.0%   0.0%   0.0%   2.2%  16.2%   7.5%   0.1%   0.0%   0.0%   0.3% |  6.4 31.0  4.2 24.5 40.0  9.1 10.8
 1.3 1.20  0.20    7 1.15 0.60 0.80 2.80 0.50 |  68.0%   2.6%   3.2%   0.0%   0.0%   0.0%   2.2%  16.1%   7.5%   0.1%   0.0%   0.0%   0.3% |  6.4 31.2  4.2 24.7 40.4  9.1 10.9
 1.3 1.20  0.20    7 1.15 0.60 0.80 3.50 0.40 |  69.8%   2.6%   1.0%   0.0%   0.0%   0.0%   2.2%  16.2%   7.9%   0.3%   0.0%   0.0%   0.0% |  6.4 31.0  4.2 24.5 40.4 11.3 14.1
 1.3 1.20  0.20    7 1.15 0.60 0.80 3.50 0.50 |  67.7%   2.6%   3.2%   0.0%   0.0%   0.0%   2.2%  16.1%   7.9%   0.3%   0.0%   0.0%   0.0% |  6.4 31.2  4.2 24.7 40.7 11.3 14.2
 1.3 1.20  0.20    7 1.15 0.70 0.70 2.00 0.40 |  70.4%   2.6%   1.0%   0.0%   0.0%   0.0%   2.4%   3.7%   3.9%   0.0%   2.5%   0.0%  13.4% |  6.4 31.1  4.6 16.2 34.3  8.9  6.8
 1.3 1.20  0.20    7 1.15 0.70 0.70 2.00 0.50 |  68.5%   2.6%   3.2%   0.0%   0.0%   0.0%   2.3%   3.7%   3.9%   0.0%   2.5%   0.0%  13.2% |  6.4 31.4  4.6 16.3 34.5  8.9  6.9
 1.3 1.20  0.20    7 1.15 0.70 0.70 2.80 0.40 |  84.2%   2.6%   1.0%   0.0%   0.0%   0.0%   2.4%   3.7%   4.4%   0.0%   0.1%   0.0%   1.4% |  6.4 31.1  4.6 16.2 34.7 12.4  9.3
 1.3 1.20  0.20    7 1.15 0.70 0.70 2.80 0.50 |  82.1%   2.6%   3.2%   0.0%   0.0%   0.0%   2.3%   3.7%   4.4%   0.0%   0.1%   0.0%   1.4% |  6.4 31.4  4.6 16.3 35.0 12.4  9.4
 1.3 1.20  0.20    7 1.15 0.70 0.70 3.50 0.40 |  85.2%   2.6%   1.0%   0.0%   0.0%   0.0%   2.4%   3.7%   4.7%   0.1%   0.0%   0.0%   0.2% |  6.4 31.1  4.6 16.2 35.0 15.4 11.8
 1.3 1.20  0.20    7 1.15 0.70 0.70 3.50 0.50 |  83.1%   2.6%   3.2%   0.0%   0.0%   0.0%   2.3%   3.7%   4.7%   0.1%   0.0%   0.0%   0.2% |  6.4 31.4  4.6 16.3 35.2 15.4 11.9
 1.3 1.20  0.20    7 1.15 0.80 0.60 2.00 0.40 |  74.0%   2.6%   1.0%   0.0%   0.0%   0.0%   2.6%   1.8%   1.7%   0.1%   3.4%   0.0%  12.9% |  6.4 31.3  5.0 14.4 27.9 12.3  9.4
 1.3 1.20  0.20    7 1.15 0.80 0.60 2.00 0.50 |  72.1%   2.6%   3.2%   0.0%   0.0%   0.0%   2.5%   1.8%   1.7%   0.1%   3.3%   0.0%  12.7% |  6.4 31.5  5.0 14.5 28.1 12.3  9.4
 1.3 1.20  0.20    7 1.15 0.80 0.60 2.80 0.40 |  86.5%   2.6%   1.0%   0.0%   0.0%   0.0%   2.6%   1.8%   2.0%   0.0%   0.7%   0.0%   2.9% |  6.4 31.3  5.0 14.4 28.3 17.0  9.1
 1.3 1.20  0.20    7 1.15 0.80 0.60 2.80 0.50 |  84.4%   2.6%   3.2%   0.0%   0.0%   0.0%   2.5%   1.8%   1.9%   0.0%   0.7%   0.0%   2.8% |  6.4 31.5  5.0 14.5 28.4 17.0  9.1
 1.3 1.20  0.20    7 1.15 0.80 0.60 3.50 0.40 |  88.7%   2.6%   1.0%   0.0%   0.0%   0.0%   2.6%   1.8%   2.1%   0.0%   0.3%   0.0%   0.9% |  6.4 31.3  5.0 14.4 28.4 21.2 10.1
 1.3 1.20  0.20    7 1.15 0.80 0.60 3.50 0.50 |  86.6%   2.6%   3.2%   0.0%   0.0%   0.0%   2.5%   1.8%   2.1%   0.0%   0.3%   0.0%   0.8% |  6.4 31.5  5.0 14.5 28.6 21.2 10.2
 1.3 1.20  0.25    6 1.15 0.60 0.80 2.00 0.50 |  51.0%   4.0%   1.8%   0.0%   0.0%   0.0%   3.4%  19.6%   8.8%   0.0%   1.3%   0.0%  10.0% |  5.4 35.1  3.7 27.1 43.2  5.8  6.0
 1.3 1.20  0.25    6 1.15 0.60 0.80 2.80 0.50 |  61.0%   4.0%   1.8%   0.0%   0.0%   0.0%   3.4%  19.6%   9.7%   0.3%   0.0%   0.0%   0.1% |  5.4 35.1  3.7 27.1 44.1  8.1 12.5
 1.3 1.20  0.25    6 1.15 0.60 0.80 3.50 0.50 |  60.4%   4.0%   1.8%   0.0%   0.0%   0.0%   3.4%  19.6%  10.2%   0.6%   0.0%   0.0%   0.0% |  5.4 35.1  3.7 27.1 44.6 10.1 16.2
 1.3 1.20  0.25    6 1.15 0.70 0.70 2.00 0.50 |  67.6%   4.0%   1.8%   0.0%   0.0%   0.0%   3.9%   4.4%   4.2%   0.0%   2.0%   0.0%  12.0% |  5.4 35.3  4.0 17.1 36.7  7.8  6.6
 1.3 1.20  0.25    6 1.15 0.70 0.70 2.80 0.50 |  79.9%   4.0%   1.8%   0.0%   0.0%   0.0%   3.9%   4.4%   4.9%   0.1%   0.1%   0.0%   0.8% |  5.4 35.3  4.0 17.1 37.2 10.8 10.9
 1.3 1.20  0.25    6 1.15 0.70 0.70 3.50 0.50 |  80.2%   4.0%   1.8%   0.0%   0.0%   0.0%   3.9%   4.4%   5.2%   0.2%   0.0%   0.0%   0.1% |  5.4 35.3  4.0 17.1 37.5 13.4 14.0
 1.3 1.20  0.25    6 1.15 0.80 0.60 2.00 0.50 |  73.0%   4.0%   1.8%   0.0%   0.0%   0.0%   4.4%   3.0%   1.2%   0.1%   2.2%   0.0%  10.3% |  5.4 35.5  4.4 16.1 29.1 10.7  8.5
 1.3 1.20  0.25    6 1.15 0.80 0.60 2.80 0.50 |  83.2%   4.0%   1.8%   0.0%   0.0%   0.0%   4.4%   3.0%   1.5%   0.0%   0.4%   0.0%   1.6% |  5.4 35.5  4.4 16.1 29.4 14.9  9.8
 1.3 1.20  0.25    6 1.15 0.80 0.60 3.50 0.50 |  84.4%   4.0%   1.8%   0.0%   0.0%   0.0%   4.4%   3.0%   1.7%   0.0%   0.3%   0.0%   0.4% |  5.4 35.5  4.4 16.1 29.6 18.5 11.6
 1.3 1.35  0.15   10 1.00 0.60 0.80 2.00 0.40 |  55.3%   1.6%   2.0%   0.0%   0.0%   0.2%   1.7%  14.8%   4.3%   0.0%   3.5%   0.0%  16.6% |  8.9 24.4  6.8 23.6 35.4  9.7  6.5
 1.3 1.35  0.15   10 1.00 0.60 0.80 2.00 0.50 |  53.9%   1.6%   4.2%   0.0%   0.0%   0.0%   1.8%  14.6%   4.3%   0.0%   3.4%   0.0%  16.2% |  9.1 24.6  6.8 23.7 35.5  9.7  6.5
 1.3 1.35  0.15   10 1.00 0.60 0.80 2.80 0.40 |  72.5%   1.6%   2.0%   0.0%   0.0%   0.2%   1.7%  14.8%   4.8%   0.0%   0.0%   0.0%   2.3% |  8.9 24.4  6.8 23.6 35.9 13.3  7.4
 1.3 1.35  0.15   10 1.00 0.60 0.80 2.80 0.50 |  70.7%   1.6%   4.2%   0.0%   0.0%   0.0%   1.8%  14.6%   4.8%   0.0%   0.0%   0.0%   2.3% |  9.1 24.6  6.8 23.7 36.0 13.3  7.5
 1.3 1.35  0.15   10 1.00 0.60 0.80 3.50 0.40 |  74.4%   1.6%   2.0%   0.0%   0.0%   0.2%   1.7%  14.8%   5.1%   0.0%   0.0%   0.0%   0.2% |  8.9 24.4  6.8 23.6 36.1 16.5  9.8
 1.3 1.35  0.15   10 1.00 0.60 0.80 3.50 0.50 |  72.5%   1.6%   4.2%   0.0%   0.0%   0.0%   1.8%  14.6%   5.0%   0.0%   0.0%   0.0%   0.2% |  9.1 24.6  6.8 23.7 36.2 16.5  9.9
 1.3 1.35  0.15   10 1.00 0.70 0.70 2.00 0.40 |  57.7%   1.6%   2.0%   0.0%   0.0%   0.2%   1.7%   5.9%   3.6%   0.0%   7.2%   0.0%  20.2% |  8.9 24.6  7.4 17.6 32.3 13.7  9.7
 1.3 1.35  0.15   10 1.00 0.70 0.70 2.00 0.50 |  56.3%   1.6%   4.2%   0.0%   0.0%   0.0%   1.8%   5.8%   3.5%   0.0%   7.0%   0.0%  19.8% |  9.1 24.8  7.4 17.7 32.4 13.7  9.7
 1.3 1.35  0.15   10 1.00 0.70 0.70 2.80 0.40 |  77.8%   1.6%   2.0%   0.0%   0.0%   0.2%   1.7%   5.9%   4.0%   0.0%   1.0%   0.0%   5.9% |  8.9 24.6  7.4 17.6 32.7 18.8  7.5
 1.3 1.35  0.15   10 1.00 0.70 0.70 2.80 0.50 |  75.9%   1.6%   4.2%   0.0%   0.0%   0.0%   1.8%   5.8%   3.9%   0.0%   1.0%   0.0%   5.7% |  9.1 24.8  7.4 17.7 32.8 18.8  7.5
 1.3 1.35  0.15   10 1.00 0.70 0.70 3.50 0.40 |  82.5%   1.6%   2.0%   0.0%   0.0%   0.2%   1.7%   5.9%   4.2%   0.0%   0.1%   0.0%   1.8% |  8.9 24.6  7.4 17.6 32.9 23.3  8.2
 1.3 1.35  0.15   10 1.00 0.70 0.70 3.50 0.50 |  80.5%   1.6%   4.2%   0.0%   0.0%   0.0%   1.8%   5.8%   4.1%   0.0%   0.1%   0.0%   1.8% |  9.1 24.8  7.4 17.7 33.0 23.3  8.2
 1.3 1.35  0.15   10 1.00 0.80 0.60 2.00 0.40 |  55.7%   1.6%   2.0%   0.0%   0.0%   0.2%   1.7%   2.7%   2.5%   0.3%  12.4%   0.0%  21.0% |  8.9 24.7  8.1 14.4 28.7 19.0 14.4
 1.3 1.35  0.15   10 1.00 0.80 0.60 2.00 0.50 |  54.3%   1.6%   4.2%   0.0%   0.0%   0.0%   1.8%   2.7%   2.4%   0.3%  12.1%   0.0%  20.5% |  9.1 24.9  8.1 14.5 28.7 19.0 14.4
 1.3 1.35  0.15   10 1.00 0.80 0.60 2.80 0.40 |  74.9%   1.6%   2.0%   0.0%   0.0%   0.2%   1.7%   2.7%   2.8%   0.1%   4.4%   0.0%   9.6% |  8.9 24.7  8.1 14.4 29.0 26.1 10.7
 1.3 1.35  0.15   10 1.00 0.80 0.60 2.80 0.50 |  73.2%   1.6%   4.2%   0.0%   0.0%   0.0%   1.8%   2.7%   2.8%   0.1%   4.3%   0.0%   9.3% |  9.1 24.9  8.1 14.5 29.1 26.1 10.7
 1.3 1.35  0.15   10 1.00 0.80 0.60 3.50 0.40 |  81.6%   1.6%   2.0%   0.0%   0.0%   0.2%   1.7%   2.7%   3.0%   0.0%   2.2%   0.0%   5.0% |  8.9 24.7  8.1 14.4 29.2 32.3  9.6
 1.3 1.35  0.15   10 1.00 0.80 0.60 3.50 0.50 |  79.7%   1.6%   4.2%   0.0%   0.0%   0.0%   1.8%   2.7%   2.9%   0.0%   2.2%   0.0%   4.8% |  9.1 24.9  8.1 14.5 29.2 32.3  9.7
 1.3 1.35  0.20    8 1.00 0.60 0.80 2.00 0.40 |  62.8%   2.8%   0.8%   0.0%   0.0%   0.0%   1.3%  12.1%   4.6%   0.0%   2.2%   0.0%  13.3% |  7.1 25.9  5.4 22.3 35.9  8.1  6.0
 1.3 1.35  0.20    8 1.00 0.60 0.80 2.00 0.50 |  61.1%   2.8%   3.0%   0.0%   0.0%   0.0%   1.3%  12.1%   4.6%   0.0%   2.2%   0.0%  13.0% |  7.1 26.1  5.4 22.4 36.1  8.1  6.1
 1.3 1.35  0.20    8 1.00 0.60 0.80 2.80 0.40 |  76.7%   2.8%   0.8%   0.0%   0.0%   0.0%   1.3%  12.1%   5.2%   0.0%   0.0%   0.0%   1.0% |  7.1 25.9  5.4 22.3 36.4 11.2  9.1
 1.3 1.35  0.20    8 1.00 0.60 0.80 2.80 0.50 |  74.6%   2.8%   3.0%   0.0%   0.0%   0.0%   1.3%  12.1%   5.2%   0.0%   0.0%   0.0%   1.0% |  7.1 26.1  5.4 22.4 36.6 11.2  9.2
 1.3 1.35  0.20    8 1.00 0.60 0.80 3.50 0.40 |  77.3%   2.8%   0.8%   0.0%   0.0%   0.0%   1.3%  12.1%   5.5%   0.1%   0.0%   0.0%   0.1% |  7.1 25.9  5.4 22.3 36.6 13.9 11.9
 1.3 1.35  0.20    8 1.00 0.60 0.80 3.50 0.50 |  75.2%   2.8%   3.0%   0.0%   0.0%   0.0%   1.3%  12.1%   5.5%   0.1%   0.0%   0.0%   0.1% |  7.1 26.1  5.4 22.4 36.8 13.9 12.0
 1.3 1.35  0.20    8 1.00 0.70 0.70 2.00 0.40 |  68.8%   2.8%   0.8%   0.0%   0.0%   0.0%   1.3%   3.6%   3.0%   0.0%   3.8%   0.0%  15.9% |  7.1 26.1  5.9 15.9 31.5 11.2  8.2
 1.3 1.35  0.20    8 1.00 0.70 0.70 2.00 0.50 |  67.1%   2.8%   3.0%   0.0%   0.0%   0.0%   1.3%   3.5%   3.0%   0.0%   3.7%   0.0%  15.6% |  7.1 26.2  5.9 15.9 31.7 11.2  8.2
 1.3 1.35  0.20    8 1.00 0.70 0.70 2.80 0.40 |  84.8%   2.8%   0.8%   0.0%   0.0%   0.0%   1.3%   3.6%   3.4%   0.0%   0.4%   0.0%   2.9% |  7.1 26.1  5.9 15.9 31.9 15.5  8.2
 1.3 1.35  0.20    8 1.00 0.70 0.70 2.80 0.50 |  82.7%   2.8%   3.0%   0.0%   0.0%   0.0%   1.3%   3.5%   3.4%   0.0%   0.4%   0.0%   2.8% |  7.1 26.2  5.9 15.9 32.1 15.5  8.3
 1.3 1.35  0.20    8 1.00 0.70 0.70 3.50 0.40 |  87.2%   2.8%   0.8%   0.0%   0.0%   0.0%   1.3%   3.6%   3.6%   0.0%   0.1%   0.0%   0.6% |  7.1 26.1  5.9 15.9 32.1 19.3  9.8
 1.3 1.35  0.20    8 1.00 0.70 0.70 3.50 0.50 |  85.0%   2.8%   3.0%   0.0%   0.0%   0.0%   1.3%   3.5%   3.6%   0.0%   0.1%   0.0%   0.6% |  7.1 26.2  5.9 15.9 32.3 19.3  9.9
 1.3 1.35  0.20    8 1.00 0.80 0.60 2.00 0.40 |  68.8%   2.8%   0.8%   0.0%   0.0%   0.0%   1.3%   1.6%   1.7%   0.2%   6.0%   0.0%  16.8% |  7.1 26.2  6.4 13.4 26.7 15.5 11.9
 1.3 1.35  0.20    8 1.00 0.80 0.60 2.00 0.50 |  67.1%   2.8%   3.0%   0.0%   0.0%   0.0%   1.3%   1.6%   1.7%   0.2%   5.9%   0.0%  16.4% |  7.1 26.4  6.4 13.5 26.8 15.5 11.9
 1.3 1.35  0.20    8 1.00 0.80 0.60 2.80 0.40 |  84.3%   2.8%   0.8%   0.0%   0.0%   0.0%   1.3%   1.6%   1.9%   0.1%   1.7%   0.0%   5.5% |  7.1 26.2  6.4 13.4 27.0 21.4  9.7
 1.3 1.35  0.20    8 1.00 0.80 0.60 2.80 0.50 |  82.3%   2.8%   3.0%   0.0%   0.0%   0.0%   1.3%   1.6%   1.9%   0.1%   1.7%   0.0%   5.4% |  7.1 26.4  6.4 13.5 27.1 21.4  9.8
 1.3 1.35  0.20    8 1.00 0.80 0.60 3.50 0.40 |  88.3%   2.8%   0.8%   0.0%   0.0%   0.0%   1.3%   1.6%   2.0%   0.0%   0.8%   0.0%   2.3% |  7.1 26.2  6.4 13.4 27.1 26.6  9.7
 1.3 1.35  0.20    8 1.00 0.80 0.60 3.50 0.50 |  86.2%   2.8%   3.0%   0.0%   0.0%   0.0%   1.3%   1.6%   2.0%   0.0%   0.8%   0.0%   2.2% |  7.1 26.4  6.4 13.5 27.3 26.6  9.8
 1.3 1.35  0.25    6 1.00 0.60 0.80 2.00 0.50 |  60.7%   4.2%   1.6%   0.0%   0.0%   0.0%   1.0%  13.8%   5.5%   0.0%   1.6%   0.0%  11.5% |  5.9 28.9  4.8 23.4 38.2  7.0  6.0
 1.3 1.35  0.25    6 1.00 0.60 0.80 2.80 0.50 |  72.6%   4.2%   1.6%   0.0%   0.0%   0.0%   1.0%  13.8%   6.2%   0.1%   0.0%   0.0%   0.4% |  5.9 28.9  4.8 23.4 38.8  9.7 10.8
 1.3 1.35  0.25    6 1.00 0.60 0.80 3.50 0.50 |  72.4%   4.2%   1.6%   0.0%   0.0%   0.0%   1.0%  13.8%   6.6%   0.2%   0.0%   0.0%   0.0% |  5.9 28.9  4.8 23.4 39.1 12.1 14.0
 1.3 1.35  0.25    6 1.00 0.70 0.70 2.00 0.50 |  71.1%   4.2%   1.6%   0.0%   0.0%   0.0%   1.2%   3.3%   3.0%   0.0%   2.5%   0.0%  13.0% |  5.9 29.0  5.2 16.0 32.9  9.6  7.4
 1.3 1.35  0.25    6 1.00 0.70 0.70 2.80 0.50 |  84.5%   4.2%   1.6%   0.0%   0.0%   0.0%   1.2%   3.3%   3.4%   0.0%   0.2%   0.0%   1.6% |  5.9 29.0  5.2 16.0 33.3 13.3  9.4
 1.3 1.35  0.25    6 1.00 0.70 0.70 3.50 0.50 |  85.6%   4.2%   1.6%   0.0%   0.0%   0.0%   1.2%   3.3%   3.6%   0.1%   0.1%   0.0%   0.3% |  5.9 29.0  5.2 16.0 33.5 16.6 11.7
 1.3 1.35  0.25    6 1.00 0.80 0.60 2.00 0.50 |  73.5%   4.2%   1.6%   0.0%   0.0%   0.0%   1.3%   1.7%   1.4%   0.2%   3.5%   0.0%  12.7% |  5.9 29.2  5.7 14.3 27.0 13.3 10.4
 1.3 1.35  0.25    6 1.00 0.80 0.60 2.80 0.50 |  85.5%   4.2%   1.6%   0.0%   0.0%   0.0%   1.3%   1.7%   1.6%   0.1%   0.9%   0.0%   3.1% |  5.9 29.2  5.7 14.3 27.2 18.4  9.7
 1.3 1.35  0.25    6 1.00 0.80 0.60 3.50 0.50 |  87.9%   4.2%   1.6%   0.0%   0.0%   0.0%   1.3%   1.7%   1.7%   0.1%   0.5%   0.0%   1.1% |  5.9 29.2  5.7 14.3 27.4 22.9 10.5
 1.3 1.50  0.15   11 0.85 0.60 0.80 2.00 0.40 |  48.8%   1.6%   2.0%   0.0%   0.0%   0.2%   1.5%  17.0%   3.5%   0.0%   5.7%   0.0%  19.7% |  9.7 21.7  9.2 25.9 34.6 12.1  8.1
 1.3 1.50  0.15   11 0.85 0.60 0.80 2.00 0.50 |  47.5%   1.6%   4.2%   0.0%   0.0%   0.0%   1.7%  16.8%   3.4%   0.0%   5.5%   0.0%  19.2% | 10.0 21.8  9.3 26.0 34.6 12.1  8.1
